EmpID,Gender,Age,MaritalStatus,JobLevel,Experience,Dept,EmpType,WLB,WorkEnv,PhysicalActivityHours,Workload,Stress,SleepHours,CommuteMode,NumCompanies,TeamSize,NumReports,EduLevel,haveOT,TrainingHoursPerYear,JobSatisfaction,Workload_Stress,Workload_SleepHours,Stress_SleepHours,Workload_Bin,CommuteDistance_Encoded,Workload_Stress_Ratio,Stress_SleepHours_Ratio,Total_Workload,CommuteDistance_-1.362887592126172,CommuteDistance_-1.2440767861843371,CommuteDistance_-1.1252659802425022,CommuteDistance_-1.0064551743006673,CommuteDistance_-0.8876443683588325,CommuteDistance_-0.7688335624169976,CommuteDistance_-0.6500227564751627,CommuteDistance_-0.5312119505333278,CommuteDistance_-0.41240114459149296,CommuteDistance_-0.2935903386496581,CommuteDistance_-0.1747795327078232,CommuteDistance_-0.05596872676598833,CommuteDistance_0.06284207917584655,CommuteDistance_0.18165288511768143,CommuteDistance_0.3004636910595163,CommuteDistance_0.41927449700135117,CommuteDistance_0.538085302943186,CommuteDistance_0.6568961088850209,CommuteDistance_0.7757069148268558,CommuteDistance_0.8945177207686907,CommuteDistance_1.0133285267105256,CommuteDistance_1.1321393326523606,CommuteDistance_1.2509501385941952,CommuteDistance_1.3697609445360301,CommuteDistance_1.488571750477865,CommuteDistance_1.6073825564197,CommuteDistance_1.7261933623615349,CommuteDistance_1.8450041683033698
18.0,Male,40.0,Single,Mid,14.0,Customer Service,Full-Time,5.0,5.0,0.8,-0.6899947466654884,-0.6929008635525359,-0.7057374453368851,Car,6.0,11.0,0.0,Bachelor,False,37.0,5.0,2.0,12.6,6.3,Very Low,0.04661157024793389,0.995805870588266,0.9818111099427201,-2.0886330555549093,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,Male,30.0,Single,Senior,8.0,Legal,Full-Time,5.0,5.0,2.5,-0.6899947466654884,-0.6929008635525359,-0.7057374453368851,Public Transport,2.0,18.0,2.0,Bachelor,False,44.0,5.0,2.0,12.6,6.3,Very Low,0.03272727272727273,0.995805870588266,0.9818111099427201,-2.0886330555549093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59.0,Female,29.0,Single,Junior,7.0,Legal,Full-Time,5.0,3.0,2.1,-1.4045562354238255,-0.6929008635525359,-0.805483077825044,Public Transport,4.0,7.0,0.0,Bachelor,False,23.5,5.0,1.0,6.2,6.2,Very Low,0.028429752066115702,2.0270666574864187,0.8602301941385645,-2.902940176801405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108.0,Female,35.0,Married,Senior,12.0,Finance,Full-Time,5.0,3.0,2.0,-1.4045562354238255,-0.6929008635525359,-0.2070092828960886,Public Transport,4.0,21.0,2.0,Bachelor,False,46.0,5.0,1.0,6.8,6.8,Very Low,0.029421487603305783,2.0270666574864187,3.347197078343317,-2.30446638187245,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147.0,Female,29.0,Single,Mid,7.0,Finance,Part-Time,4.0,5.0,2.7,-0.6899947466654884,0.2470207114458593,1.0896839394499822,Public Transport,2.0,14.0,0.0,Bachelor,False,33.5,5.0,4.0,16.2,16.2,Very Low,0.021487603305785124,-2.7932667663110147,0.22669023767006488,0.646709904230353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
151.0,Male,28.0,Married,Senior,6.0,Sales,Full-Time,5.0,5.0,1.8,-1.4045562354238255,1.1869422864442545,1.2891752044263018,Bike,2.0,16.0,7.0,Bachelor,False,43.0,5.0,3.0,8.3,24.900000000000002,Very Low,0.01785123966942149,-1.1833399570320653,0.9206989720623417,1.0715612554467309,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173.0,Female,26.0,Single,Mid,4.0,Sales,Part-Time,5.0,5.0,2.3,-0.6899947466654884,1.1869422864442545,0.7904470419855044,Walk,1.0,15.0,0.0,Bachelor,False,32.0,5.0,6.0,15.6,23.4,Very Low,0.06512396694214877,-0.5813212267895498,1.5016088642209282,1.2873945817642705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185.0,Male,30.0,Married,Mid,8.0,Finance,Part-Time,5.0,4.0,2.2,-1.4045562354238255,-0.6929008635525359,-1.1047199752895218,Walk,2.0,12.0,0.0,Bachelor,False,34.0,5.0,1.0,5.9,5.9,Very Low,0.06512396694214877,2.0270666574864187,0.6272185528266211,-3.202177074265883,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218.0,Female,45.0,Single,Mid,9.0,Operations,Full-Time,5.0,5.0,2.1,-0.6899947466654884,-0.6929008635525359,-0.2070092828960886,Car,7.0,12.0,0.0,Bachelor,False,34.5,5.0,2.0,13.6,6.8,Very Low,0.04661157024793389,0.995805870588266,3.347197078343317,-1.5899048931141129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323.0,Male,28.0,Single,Junior,6.0,Operations,Full-Time,5.0,5.0,2.2,-1.4045562354238255,-0.6929008635525359,0.9899383069618232,Bike,2.0,7.0,0.0,Bachelor,False,23.0,5.0,1.0,8.0,8.0,Very Low,0.023801652892561982,2.0270666574864187,-0.6999434792852339,-1.1075187920145382,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338.0,Male,27.0,Single,Junior,2.0,Operations,Full-Time,4.0,4.0,2.3,-1.4045562354238255,-0.6929008635525359,0.7904470419855044,Public Transport,1.0,7.0,0.0,Bachelor,False,21.0,5.0,1.0,7.8,7.8,Very Low,0.028429752066115702,2.0270666574864187,-0.8765936563383951,-1.307010056990857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
367.0,Male,49.0,Married,Mid,3.0,Finance,Full-Time,4.0,4.0,2.6,-0.6899947466654884,-0.6929008635525359,2.984850956725009,Bike,9.0,12.0,0.0,Bachelor,False,31.5,5.0,2.0,20.0,10.0,Very Low,0.06512396694214877,0.995805870588266,-0.2321391832845987,1.601955346506985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387.0,Male,30.0,Married,Mid,8.0,Operations,Full-Time,4.0,5.0,0.2,-1.4045562354238255,-0.6929008635525359,-0.7057374453368851,Car,2.0,12.0,0.0,Bachelor,False,34.0,5.0,1.0,6.3,6.3,Very Low,0.029421487603305783,2.0270666574864187,0.9818111099427201,-2.8031945443132464,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398.0,Female,24.0,Single,Junior,1.0,Finance,Full-Time,5.0,5.0,0.0,0.7391282308511856,-0.6929008635525359,1.8876489993552572,Walk,0.0,9.0,0.0,Bachelor,False,20.5,5.0,4.0,35.6,8.9,Very Low,0.06512396694214877,-1.0667157032080397,-0.3670708184742668,1.933876366653907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406.0,Male,31.0,Married,Mid,9.0,IT,Full-Time,5.0,4.0,2.5,-1.4045562354238255,-0.6929008635525359,-0.805483077825044,Public Transport,3.0,13.0,0.0,Bachelor,False,34.5,5.0,1.0,6.2,6.2,Very Low,0.03239669421487603,2.0270666574864187,0.8602301941385645,-2.902940176801405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
427.0,Female,45.0,Married,Mid,23.0,Legal,Full-Time,5.0,5.0,1.2,0.7391282308511856,-0.6929008635525359,0.19197324705654895,Car,7.0,13.0,0.0,Bachelor,False,41.5,5.0,4.0,28.8,7.2,Very Low,0.02809917355371901,-1.0667157032080397,-3.6093615676515007,0.23820061435519868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
474.0,Female,49.0,Divorced,Mid,18.0,Finance,Full-Time,5.0,5.0,2.3,-0.6899947466654884,0.2470207114458593,-0.5062461803605663,Bike,9.0,24.0,0.0,Bachelor,False,39.0,5.0,4.0,13.0,13.0,Very Low,0.04033057851239669,-2.7932667663110147,-0.48794582856480667,-0.9492202155801954,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548.0,Female,31.0,Single,Senior,9.0,Marketing,Part-Time,5.0,3.0,0.4,-1.4045562354238255,-0.6929008635525359,-0.2070092828960886,Public Transport,3.0,24.0,6.0,Bachelor,False,44.5,5.0,1.0,6.8,6.8,Very Low,0.033388429752066115,2.0270666574864187,3.347197078343317,-2.30446638187245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
551.0,Female,27.0,Married,Junior,5.0,Legal,Part-Time,5.0,4.0,2.0,0.7391282308511856,-0.6929008635525359,1.6881577343789376,Walk,1.0,10.0,0.0,Bachelor,False,22.5,5.0,4.0,34.8,8.7,Very Low,0.06512396694214877,-1.0667157032080397,-0.4104479392128614,1.7343851016775873,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568.0,Female,24.0,Married,Junior,2.0,Finance,Full-Time,5.0,4.0,3.2,-0.6899947466654884,-0.6929008635525359,1.9873946318434161,Car,0.0,8.0,0.0,Bachelor,False,21.0,5.0,2.0,18.0,9.0,Very Low,0.03239669421487603,0.995805870588266,-0.3486478488478078,0.6044990216253918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
603.0,Male,56.0,Married,Senior,14.0,Finance,Full-Time,5.0,4.0,2.1,-1.4045562354238255,-0.6929008635525359,-1.6034481377303182,Car,11.0,18.0,1.0,Bachelor,False,47.0,5.0,1.0,5.4,5.4,Very Low,0.05024793388429752,2.0270666574864187,0.43213175885156424,-3.7009052367066797,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
638.0,Female,48.0,Divorced,Senior,26.0,Marketing,Part-Time,4.0,5.0,2.1,-0.6899947466654884,0.2470207114458593,0.19197324705654895,Car,8.0,24.0,7.0,Bachelor,False,53.0,5.0,4.0,14.4,14.4,Very Low,0.024793388429752067,-2.7932667663110147,1.2867454916067014,-0.2510007881630802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
659.0,Male,22.0,Single,Intern/Fresher,0.0,Operations,Full-Time,5.0,3.0,1.5,-0.6899947466654884,-0.6929008635525359,0.7904470419855044,Walk,0.0,26.0,0.0,Bachelor,False,10.0,5.0,2.0,15.6,7.8,Very Low,0.06380165289256198,0.995805870588266,-0.8765936563383951,-0.5924485682325199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
739.0,Male,35.0,Married,Senior,4.0,IT,Full-Time,5.0,4.0,2.7,-1.4045562354238255,-0.6929008635525359,0.8901926744736642,Car,4.0,24.0,1.0,Bachelor,True,42.0,5.0,1.0,7.9,7.9,Very Low,0.031074380165289257,2.0270666574864187,-0.7783717869660621,-1.2072644245026969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
810.0,Male,22.0,Single,Intern/Fresher,0.0,Legal,Part-Time,5.0,4.0,2.1,-0.6899947466654884,0.2470207114458593,0.39146451203286775,Bike,0.0,23.0,0.0,Bachelor,False,10.0,5.0,4.0,14.8,14.8,Very Low,0.04033057851239669,-2.7932667663110147,0.6310168692739696,-0.051509523186761386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
905.0,Male,25.0,Single,Junior,3.0,Finance,Full-Time,5.0,5.0,0.9,0.024566742092848568,-0.6929008635525359,0.39146451203286775,Walk,1.0,8.0,0.0,Bachelor,False,21.5,5.0,3.0,22.200000000000003,7.4,Very Low,0.06380165289256198,-0.03545491630988684,-1.77002216161126,-0.27686960942681954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920.0,Male,24.0,Single,Junior,2.0,Finance,Part-Time,5.0,5.0,4.6,-1.4045562354238255,1.1869422864442545,0.9899383069618232,Public Transport,0.0,5.0,0.0,Bachelor,False,21.0,5.0,3.0,8.0,24.0,Very Low,0.039008264462809916,-1.1833399570320653,1.1990063187756028,0.7723243579822522,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
932.0,Male,26.0,Single,Junior,4.0,IT,Part-Time,5.0,5.0,1.6,-0.6899947466654884,-0.6929008635525359,0.2917188795447079,Public Transport,1.0,9.0,0.0,Bachelor,True,22.0,5.0,2.0,14.6,7.3,Very Low,0.06380165289256198,0.995805870588266,-2.3752348914089025,-1.0911767306733164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
937.0,Female,31.0,Single,Senior,2.0,Marketing,Part-Time,5.0,4.0,2.6,0.024566742092848568,-0.6929008635525359,0.09222761456838913,Public Transport,3.0,19.0,7.0,Bachelor,False,41.0,5.0,3.0,21.299999999999997,7.1,Very Low,0.030413223140495868,-0.03545491630988684,-7.512943485335281,-0.5761065068912982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
972.0,Female,30.0,Single,Senior,5.0,Finance,Full-Time,4.0,4.0,2.5,-1.4045562354238255,-0.6929008635525359,0.2917188795447079,Car,2.0,23.0,4.0,Bachelor,False,42.5,5.0,1.0,7.3,7.3,Very Low,0.02909090909090909,2.0270666574864187,-2.3752348914089025,-1.8057382194316534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1035.0,Male,29.0,Single,Mid,3.0,IT,Full-Time,5.0,5.0,2.4,-1.4045562354238255,-0.6929008635525359,0.09222761456838913,Car,2.0,12.0,0.0,Bachelor,False,31.5,5.0,1.0,7.1,7.1,Very Low,0.05024793388429752,2.0270666574864187,-7.512943485335281,-2.0052294844079723,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081.0,Female,23.0,Single,Junior,1.0,Operations,Full-Time,4.0,5.0,2.6,-0.6899947466654884,-0.6929008635525359,0.7904470419855044,Motorbike,0.0,9.0,0.0,Bachelor,False,20.5,5.0,2.0,15.6,7.8,Very Low,0.02909090909090909,0.995805870588266,-0.8765936563383951,-0.5924485682325199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1091.0,Male,37.0,Married,Senior,11.0,HR,Full-Time,4.0,5.0,4.1,-1.4045562354238255,-0.6929008635525359,-0.10726365040792876,Public Transport,5.0,23.0,4.0,Bachelor,False,45.5,5.0,1.0,6.9,6.9,Very Low,0.04363636363636364,2.0270666574864187,6.45979199269457,-2.20472074938429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122.0,Male,30.0,Married,Mid,8.0,Operations,Full-Time,5.0,1.0,2.0,-1.4045562354238255,0.2470207114458593,2.6856140592605304,Car,2.0,10.0,0.0,Bachelor,False,34.0,5.0,2.0,9.7,19.4,Very Low,0.05024793388429752,-5.685985687259601,0.09197922929473192,1.5280785352825643,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1179.0,Male,34.0,Married,Mid,2.0,Finance,Part-Time,4.0,4.0,3.2,-0.6899947466654884,-0.6929008635525359,0.5909557770091857,Motorbike,4.0,15.0,0.0,Bachelor,False,31.0,5.0,2.0,15.2,7.6,Very Low,0.03239669421487603,0.995805870588266,-1.1725088227189915,-0.7919398332088387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1200.0,Female,32.0,Married,Senior,8.0,Sales,Contract,4.0,5.0,3.5,-0.6899947466654884,-0.6929008635525359,-0.5062461803605663,Public Transport,3.0,17.0,2.0,Bachelor,False,44.0,5.0,2.0,13.0,6.5,Very Low,0.0456198347107438,0.995805870588266,1.3687033933327277,-1.8891417905785906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1251.0,Male,27.0,Single,Junior,5.0,IT,Full-Time,5.0,5.0,2.3,-1.4045562354238255,-0.6929008635525359,2.386377161796054,Public Transport,1.0,7.0,0.0,Bachelor,False,22.5,5.0,1.0,9.4,9.4,Very Low,0.02809917355371901,2.0270666574864187,-0.290356811301648,0.2889200628196926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1277.0,Male,29.0,Single,Junior,7.0,Legal,Contract,5.0,4.0,1.7,0.024566742092848568,-0.6929008635525359,0.39146451203286775,Public Transport,2.0,6.0,0.0,Bachelor,False,23.5,5.0,3.0,22.200000000000003,7.4,Very Low,0.03371900826446281,-0.03545491630988684,-1.77002216161126,-0.27686960942681954,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284.0,Female,38.0,Married,Senior,8.0,Operations,Full-Time,5.0,5.0,2.6,-1.4045562354238255,-0.6929008635525359,1.4886664694026197,Bike,5.0,19.0,4.0,Bachelor,False,44.0,5.0,1.0,8.5,8.5,Very Low,0.04033057851239669,2.0270666574864187,-0.46545070862322585,-0.6087906295737415,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317.0,Female,23.0,Single,Intern/Fresher,1.0,Finance,Full-Time,3.0,3.0,2.7,-1.4045562354238255,-0.6929008635525359,1.7879033668670983,Public Transport,0.0,25.0,0.0,Bachelor,False,10.5,5.0,1.0,8.8,8.8,Very Low,0.031735537190082645,2.0270666574864187,-0.387549392213037,-0.30955373210926296,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1328.0,Female,43.0,Married,Mid,6.0,HR,Full-Time,5.0,4.0,2.5,-0.6899947466654884,0.2470207114458593,0.2917188795447079,Walk,7.0,11.0,0.0,Bachelor,False,33.0,5.0,4.0,14.6,14.6,Very Low,0.06380165289256198,-2.7932667663110147,0.846776564426044,-0.15125515567492126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1332.0,Female,27.0,Single,Mid,5.0,Marketing,Part-Time,5.0,4.0,2.2,-0.6899947466654884,-0.6929008635525359,-0.7057374453368851,Walk,1.0,15.0,0.0,Bachelor,False,32.5,5.0,2.0,12.6,6.3,Very Low,0.06512396694214877,0.995805870588266,0.9818111099427201,-2.0886330555549093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1350.0,Female,43.0,Married,Mid,4.0,Finance,Full-Time,5.0,5.0,0.6,0.024566742092848568,0.2470207114458593,0.5909557770091857,Motorbike,7.0,14.0,0.0,Bachelor,False,32.0,5.0,6.0,22.799999999999997,15.2,Very Low,0.031074380165289257,0.09945215463757104,0.4180020242428693,0.8625432305478935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1371.0,Male,25.0,Single,Junior,3.0,Marketing,Full-Time,4.0,5.0,0.9,-0.6899947466654884,-0.6929008635525359,0.4912101445210267,Car,1.0,10.0,0.0,Bachelor,False,21.5,5.0,2.0,15.0,7.5,Very Low,0.02809917355371901,0.995805870588266,-1.4105996585587128,-0.8916854656969977,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1377.0,Female,22.0,Single,Intern/Fresher,0.0,Operations,Full-Time,4.0,5.0,1.6,-1.4045562354238255,-0.6929008635525359,0.8901926744736642,Car,0.0,30.0,0.0,Bachelor,False,10.0,5.0,1.0,7.9,7.9,Very Low,0.031074380165289257,2.0270666574864187,-0.7783717869660621,-1.2072644245026969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1419.0,Male,28.0,Married,Mid,5.0,Finance,Part-Time,5.0,5.0,1.7,-1.4045562354238255,1.1869422864442545,0.9899383069618232,Walk,2.0,10.0,0.0,Bachelor,False,32.5,5.0,3.0,8.0,24.0,Very Low,0.06512396694214877,-1.1833399570320653,1.1990063187756028,0.7723243579822522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1461.0,Male,28.0,Married,Junior,6.0,IT,Full-Time,4.0,5.0,2.8,-0.6899947466654884,-0.6929008635525359,-0.6059918128487253,Motorbike,2.0,9.0,0.0,Bachelor,False,23.0,5.0,2.0,12.8,6.4,Very Low,0.030413223140495868,0.995805870588266,1.1434162145502815,-1.9888874230667497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1593.0,Male,36.0,Single,Junior,7.0,Marketing,Full-Time,2.0,5.0,1.7,0.024566742092848568,-0.6929008635525359,2.386377161796054,Public Transport,2.0,5.0,0.0,Bachelor,False,23.5,5.0,3.0,28.200000000000003,9.4,Very Low,0.04661157024793389,-0.03545491630988684,-0.290356811301648,1.7180430403363665,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
