EmpID,Age,Experience,WLB,WorkEnv,PhysicalActivityHours,Workload,Stress,SleepHours,CommuteDistance,NumCompanies,TeamSize,NumReports,EduLevel,haveOT,TrainingHoursPerYear,JobSatisfaction,Gender_Male,Gender_Other,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,JobLevel_Junior,JobLevel_Lead,JobLevel_Mid,JobLevel_Senior,Dept_Finance,Dept_HR,Dept_IT,Dept_Legal,Dept_Marketing,Dept_Operations,Dept_Sales,EmpType_Full-Time,EmpType_Part-Time,CommuteMode_Car,CommuteMode_Motorbike,CommuteMode_Public Transport,CommuteMode_Walk,Workload_Stress,Workload_SleepHours,Stress_SleepHours,PC1,PC2,PC3,PC4
18.0,40.0,14.0,5.0,5.0,0.8,2.0,1.0,6.3,8.0,6.0,11.0,0.0,Bachelor,False,37.0,5.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,12.6,6.3,-1.6856670843465091,0.23239190079060626,0.7542796669010748,-0.36240549810450995
32.0,30.0,8.0,5.0,5.0,2.5,2.0,1.0,6.3,19.0,2.0,18.0,2.0,Bachelor,False,44.0,5.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2.0,12.6,6.3,-1.6917761648145189,0.24001613191468124,0.17751816774255194,0.8102582459500036
59.0,29.0,7.0,5.0,3.0,2.1,1.0,1.0,6.2,20.0,4.0,7.0,0.0,Bachelor,False,23.5,5.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1.0,6.2,6.2,-2.315933382635997,0.9772140002736674,0.10033329980832588,0.8979272150845897
108.0,35.0,12.0,5.0,3.0,2.0,1.0,1.0,6.8,11.0,4.0,21.0,2.0,Bachelor,False,46.0,5.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0,6.8,6.8,-2.1837982618873086,0.9220809456795126,0.050367688327486934,-0.3167096427357885
147.0,29.0,7.0,4.0,5.0,2.7,2.0,2.0,8.1,25.0,2.0,14.0,0.0,Bachelor,False,33.5,5.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4.0,16.2,16.2,-0.0818031709450126,0.8692847939308659,-1.70450761929739,0.6820308202569055
151.0,28.0,6.0,5.0,5.0,1.8,1.0,3.0,8.3,3.0,2.0,16.0,7.0,Bachelor,False,43.0,5.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3.0,8.3,24.900000000000002,0.23977441448779577,2.5420511563222554,-0.8957614663607943,-1.8464492492225668
173.0,26.0,4.0,5.0,5.0,2.3,2.0,3.0,7.8,2.0,1.0,15.0,0.0,Bachelor,False,32.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6.0,15.6,23.4,0.9894647666650093,1.7292145808479804,-0.21257669105450133,-1.63183534284732
185.0,30.0,8.0,5.0,4.0,2.2,1.0,1.0,5.9,2.0,2.0,12.0,0.0,Bachelor,False,34.0,5.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1.0,5.9,5.9,-2.3695050965985023,0.9891855093624096,1.305055535645724,-0.8933847415712716
218.0,45.0,9.0,5.0,5.0,2.1,2.0,1.0,6.8,8.0,7.0,12.0,0.0,Bachelor,False,34.5,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2.0,13.6,6.8,-1.5621098625606562,0.16497896179513433,0.3153550242623948,-0.5769102067353792
323.0,28.0,6.0,5.0,5.0,2.2,1.0,1.0,8.0,4.0,2.0,7.0,0.0,Bachelor,False,23.0,5.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,8.0,8.0,-1.9256371008579416,0.8194390676152781,-0.626325033792715,-1.5733196143220318
338.0,27.0,2.0,4.0,4.0,2.3,1.0,1.0,7.8,20.0,1.0,7.0,0.0,Bachelor,False,21.0,5.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1.0,7.8,7.8,-1.9769019634787888,0.8468272074448122,-1.2912970562440222,0.21743467216736817
367.0,49.0,3.0,4.0,4.0,2.6,2.0,1.0,10.0,2.0,9.0,12.0,0.0,Bachelor,False,31.5,5.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.0,20.0,10.0,-0.7680114174213724,-0.2706225192981087,-2.1791655072659637,-2.589375111457223
387.0,30.0,8.0,4.0,5.0,0.2,1.0,1.0,6.3,11.0,2.0,12.0,0.0,Bachelor,False,34.0,5.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1.0,6.3,6.3,-2.289745580373936,0.9628268184385299,0.4852521745938458,-0.10405572307415668
398.0,24.0,1.0,5.0,5.0,0.0,4.0,1.0,8.9,2.0,0.0,9.0,0.0,Bachelor,False,20.5,5.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,35.6,8.9,0.34813045530672826,-1.8563627061408243,-1.0320911164777427,-2.0137777383258064
406.0,31.0,9.0,5.0,4.0,2.5,1.0,1.0,6.2,16.0,3.0,13.0,0.0,Bachelor,False,34.5,5.0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1.0,6.2,6.2,-2.313711898829448,0.9744415525921857,0.3100647540477887,0.47150403542840297
427.0,45.0,23.0,5.0,5.0,1.2,4.0,1.0,7.2,29.0,7.0,13.0,0.0,Bachelor,False,41.5,5.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,4.0,28.8,7.2,-0.20670645689411207,-1.4271086412983256,-0.9279615842908215,1.6064800986892247
474.0,49.0,18.0,5.0,5.0,2.3,2.0,2.0,6.5,7.0,9.0,24.0,0.0,Bachelor,False,39.0,5.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.0,13.0,13.0,-0.5628442231472887,0.9862022556448838,0.6702965757953521,-0.5370996503196163
548.0,31.0,9.0,5.0,3.0,0.4,1.0,1.0,6.8,17.0,3.0,24.0,6.0,Bachelor,False,44.5,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1.0,6.8,6.8,-2.187130487597132,0.9262396172017352,-0.26422949303170734,0.3229251267484916
551.0,27.0,5.0,5.0,4.0,2.0,4.0,1.0,8.7,2.0,1.0,10.0,0.0,Bachelor,False,22.5,5.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4.0,34.8,8.7,0.2846196439530062,-1.8080638775534716,-0.8532891343244134,-1.9264952236980681
568.0,24.0,2.0,5.0,4.0,3.2,2.0,1.0,9.0,24.0,0.0,8.0,0.0,Bachelor,False,21.0,5.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2.0,18.0,9.0,-1.0273440219290981,-0.12054817905901488,-2.4548392203056486,0.18496179391354306
603.0,56.0,14.0,5.0,4.0,2.1,1.0,1.0,5.4,10.0,11.0,18.0,1.0,Bachelor,False,47.0,5.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1.0,5.4,5.4,-2.479895382698228,1.0354762774843904,1.3204771134331572,0.1721155374027337
638.0,48.0,26.0,4.0,5.0,2.1,2.0,2.0,7.2,27.0,8.0,24.0,7.0,Bachelor,False,53.0,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,4.0,14.4,14.4,-0.3591226355973945,0.9434548481794929,-1.0044287302210948,1.288865193890428
659.0,22.0,0.0,5.0,3.0,1.5,2.0,1.0,7.8,1.0,0.0,26.0,0.0,Bachelor,False,10.0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2.0,15.6,7.8,-1.3111078223274888,0.02530130036159727,-0.19546421609590534,-1.7521601883954447
739.0,35.0,4.0,5.0,4.0,2.7,1.0,1.0,7.9,21.0,4.0,24.0,1.0,Bachelor,True,42.0,5.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1.0,7.9,7.9,-1.9562678707331,0.8393711448133793,-1.4307068170571602,0.2815096831490882
810.0,22.0,0.0,5.0,4.0,2.1,2.0,2.0,7.4,7.0,0.0,23.0,0.0,Bachelor,False,10.0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4.0,14.8,14.8,-0.2866355003981811,0.9134184252369977,-0.13464804040067532,-0.9307224341250458
905.0,25.0,3.0,5.0,5.0,0.9,3.0,1.0,7.4,1.0,1.0,8.0,0.0,Bachelor,False,21.5,5.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3.0,22.200000000000003,7.4,-0.7687994293253592,-0.7077914760490379,0.25851605562356395,-1.523160547511285
920.0,24.0,2.0,5.0,5.0,4.6,1.0,3.0,8.0,6.0,0.0,5.0,0.0,Bachelor,False,21.0,5.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3.0,8.0,24.0,0.13866942818452596,2.5362050425494678,-0.7822091923163066,-1.3940299738368709
932.0,26.0,4.0,5.0,5.0,1.6,2.0,1.0,7.3,1.0,1.0,9.0,0.0,Bachelor,True,22.0,5.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2.0,14.6,7.3,-1.434665044113342,0.0927142393570692,0.24346042654277475,-1.537655479764575
937.0,31.0,2.0,5.0,4.0,2.6,3.0,1.0,7.1,18.0,3.0,19.0,7.0,Bachelor,False,41.0,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,3.0,21.299999999999997,7.1,-0.8629410105542399,-0.639560570263584,-0.367063745487552,0.4189512645875732
972.0,30.0,5.0,4.0,4.0,2.5,1.0,1.0,7.3,23.0,2.0,23.0,4.0,Bachelor,False,42.5,5.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1.0,7.3,7.3,-2.084515394820328,0.8896524159649408,-1.0137111606572609,0.7499059765711402
1035.0,29.0,3.0,5.0,5.0,2.4,1.0,1.0,7.1,10.0,2.0,12.0,0.0,Bachelor,False,31.5,5.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1.0,7.1,7.1,-2.1196744998436947,0.8969403101037318,-0.15813013987246263,-0.5509077894468142
1081.0,23.0,1.0,4.0,5.0,2.6,2.0,1.0,7.8,23.0,0.0,9.0,0.0,Bachelor,False,20.5,5.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2.0,15.6,7.8,-1.3233259832635083,0.04054976260974728,-1.348987214412951,0.5931672997135827
1091.0,37.0,11.0,4.0,5.0,4.1,1.0,1.0,6.9,5.0,5.0,23.0,4.0,Bachelor,False,45.5,5.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1.0,6.9,6.9,-2.1592765724801595,0.9097730996054865,0.27798797243340867,-0.9988751961523951
1122.0,30.0,8.0,5.0,1.0,2.0,1.0,2.0,9.7,10.0,2.0,10.0,0.0,Bachelor,False,34.0,5.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2.0,9.7,19.4,-0.43440677489728013,1.6344750713399423,-2.4731458408915543,-1.687862839757399
1179.0,34.0,2.0,4.0,4.0,3.2,2.0,1.0,7.6,24.0,4.0,15.0,0.0,Bachelor,False,31.0,5.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2.0,15.2,7.6,-1.3733042429294868,0.06820805012830652,-1.225850220917345,0.7855749780799774
1200.0,32.0,8.0,4.0,5.0,3.5,2.0,1.0,6.5,9.0,3.0,17.0,2.0,Bachelor,False,44.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,13.0,6.5,-1.636799566583805,0.20611983711278792,0.5262769462857368,-0.34160158664281093
1251.0,27.0,5.0,5.0,5.0,2.3,1.0,1.0,9.4,26.0,1.0,7.0,0.0,Bachelor,False,22.5,5.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1.0,9.4,9.4,-1.641202770031404,0.7205990861381798,-2.9975245936555663,0.1765768987344262
1277.0,29.0,7.0,5.0,4.0,1.7,3.0,1.0,7.4,13.0,2.0,6.0,0.0,Bachelor,False,23.5,5.0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3.0,22.200000000000003,7.4,-0.775463880745006,-0.6994741330045925,-0.3706783070948248,-0.24389100854272455
1284.0,38.0,8.0,5.0,5.0,2.6,1.0,1.0,8.5,7.0,5.0,19.0,4.0,Bachelor,False,44.0,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,8.5,8.5,-1.8213558952262254,0.7807725306173722,-1.2185081107386708,-1.4661561492415234
1317.0,23.0,1.0,3.0,3.0,2.7,1.0,1.0,8.8,12.0,0.0,25.0,0.0,Bachelor,False,10.5,5.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0,8.8,8.8,-1.7605643588924347,0.7597905665638139,-1.741603120297815,-1.0607195264682694
1328.0,43.0,6.0,5.0,4.0,2.5,2.0,2.0,7.3,1.0,7.0,11.0,0.0,Bachelor,False,33.0,5.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4.0,14.6,14.6,-0.3139931327715919,0.917346845982318,0.269387431646967,-1.5266213387420557
1332.0,27.0,5.0,5.0,4.0,2.2,2.0,1.0,6.3,2.0,1.0,15.0,0.0,Bachelor,False,32.5,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2.0,12.6,6.3,-1.6823348586366855,0.22823322926838355,1.0688768482602689,-1.0020402675887898
1350.0,43.0,4.0,5.0,5.0,0.6,3.0,2.0,7.6,21.0,7.0,14.0,0.0,Bachelor,False,32.0,5.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6.0,22.799999999999997,15.2,0.5449793261471911,0.11396905328488875,-0.9064975308749507,0.5530931770351507
1371.0,25.0,3.0,4.0,5.0,0.9,2.0,1.0,7.5,15.0,1.0,10.0,0.0,Bachelor,False,21.5,5.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2.0,15.0,7.5,-1.3930173487219222,0.07545263064406678,-0.6661695203508173,-0.13097623442026932
1377.0,22.0,0.0,4.0,5.0,1.6,1.0,1.0,7.9,21.0,0.0,30.0,0.0,Bachelor,False,10.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1.0,7.9,7.9,-1.9562678707331,0.8393711448133793,-1.4307068170571602,0.2815096831490882
1419.0,28.0,5.0,5.0,5.0,1.7,1.0,3.0,8.0,2.0,2.0,10.0,0.0,Bachelor,False,32.5,5.0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3.0,8.0,24.0,0.14089091199107492,2.5334325948679863,-0.5724777380768437,-1.820453153493058
1461.0,28.0,6.0,4.0,5.0,2.8,2.0,1.0,6.4,18.0,2.0,9.0,0.0,Bachelor,False,23.0,5.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2.0,12.8,6.4,-1.6665093495057106,0.22584043219521632,0.1421661027746813,0.6607515093097829
1593.0,36.0,7.0,2.0,5.0,1.7,3.0,1.0,9.4,8.0,2.0,5.0,0.0,Bachelor,False,23.5,5.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3.0,28.200000000000003,9.4,-0.20801852564650494,-1.0792597135341513,-1.8803731853395007,-1.6423419735133853
1614.0,36.0,14.0,4.0,4.0,3.0,2.0,3.0,9.3,21.0,4.0,10.0,0.0,Bachelor,False,37.0,5.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6.0,18.6,27.900000000000002,1.5289367957233682,1.7020097562951484,-2.575175891429335,-0.2748870596059229
1642.0,26.0,3.0,5.0,2.0,0.9,1.0,1.0,7.1,19.0,1.0,8.0,0.0,Bachelor,False,21.5,5.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0,7.1,7.1,-2.1246728384084297,0.903178317387066,-0.6300259119112539,0.40854436477960604
1669.0,26.0,3.0,4.0,4.0,2.3,2.0,1.0,7.7,15.0,1.0,14.0,0.0,Bachelor,False,31.5,5.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.0,15.4,7.7,-1.3435944600075809,0.048487455045878,-0.8417393774062897,-0.2167781178726172
1767.0,28.0,6.0,4.0,4.0,1.5,3.0,1.0,9.7,25.0,2.0,9.0,0.0,Bachelor,False,23.0,5.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3.0,29.099999999999998,9.7,-0.13275955677329135,-1.1239248140270093,-3.0375107452638175,0.040143241465344884
1885.0,47.0,25.0,4.0,3.0,1.7,1.0,1.0,7.4,12.0,8.0,14.0,0.0,Bachelor,False,42.5,5.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.0,7.4,7.4,-2.057216850654992,0.8738790102890625,-0.52392655875201,-0.46528855141570014
1905.0,33.0,3.0,5.0,5.0,0.5,3.0,1.0,7.5,22.0,3.0,13.0,0.0,Bachelor,False,31.5,5.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3.0,22.5,7.5,-0.7522287942927258,-0.7120521267676436,-0.9311670389358162,0.6722900461636745
1921.0,28.0,6.0,5.0,5.0,1.5,1.0,3.0,6.7,10.0,2.0,7.0,0.0,Bachelor,False,23.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,6.7,20.1,-0.29445384056490687,2.504633875584056,0.1817464339152619,-0.3929986013919436
1981.0,29.0,7.0,4.0,4.0,3.9,1.0,1.0,7.6,18.0,2.0,10.0,0.0,Bachelor,False,23.5,5.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1.0,7.6,7.6,-2.018170148970165,0.8617393327076782,-1.012477534617747,0.08928465020392738
2021.0,26.0,2.0,5.0,4.0,2.2,1.0,1.0,6.6,29.0,1.0,5.0,0.0,Bachelor,False,21.0,5.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0,6.6,6.6,-2.2361738664114306,0.9508553093497876,-0.7194700612435524,1.6872562335817054
2090.0,35.0,13.0,5.0,3.0,1.0,1.0,1.0,7.1,27.0,4.0,17.0,8.0,Bachelor,False,46.5,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1.0,7.1,7.1,-2.129115806021528,0.9087232127500297,-1.0494888203901798,1.2613907240919797
2096.0,25.0,3.0,4.0,3.0,0.3,2.0,1.0,8.8,15.0,1.0,10.0,0.0,Bachelor,False,31.5,5.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0,17.6,8.8,-1.0717685720787038,-0.09982101074416028,-1.8073735912113857,-0.6886884768605298
2166.0,33.0,11.0,4.0,5.0,2.1,4.0,1.0,8.1,6.0,3.0,17.0,6.0,Bachelor,False,45.5,5.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4.0,32.4,8.1,0.0918657260852922,-1.6603949441099324,-0.5266146421038898,-1.2382245001586687
2176.0,27.0,5.0,3.0,5.0,1.9,2.0,1.0,8.2,21.0,1.0,6.0,0.0,Bachelor,False,22.5,5.0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2.0,16.4,8.2,-1.2233694639315515,-0.014766812427371075,-1.595261201404163,0.20835194298079393
2217.0,29.0,7.0,4.0,4.0,3.5,2.0,1.0,9.5,2.0,2.0,6.0,0.0,Bachelor,False,23.5,5.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.0,19.0,9.5,-0.8915686392072254,-0.20320958030263683,-1.7402408646272831,-2.3748704028263528
2228.0,26.0,4.0,4.0,3.0,3.3,1.0,1.0,8.0,9.0,1.0,7.0,0.0,Bachelor,False,22.0,5.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1.0,8.0,8.0,-1.9284139556161282,0.8229046272171303,-0.8884893515920437,-1.0402906397517984
2239.0,27.0,5.0,2.0,5.0,2.8,1.0,1.0,8.6,7.0,1.0,7.0,0.0,Bachelor,False,22.5,5.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1.0,8.6,8.6,-1.8001664315289005,0.7726233560655686,-1.3054850079919422,-1.5086869331738497
2402.0,27.0,2.0,5.0,3.0,2.5,4.0,1.0,9.5,20.0,1.0,15.0,0.0,Bachelor,False,31.0,5.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4.0,38.0,9.5,0.5286662122384229,-1.9887831773362135,-2.5122886070153116,-0.356720973756179
2768.0,28.0,6.0,2.0,1.0,0.7,1.0,1.0,7.2,8.0,2.0,8.0,0.0,Bachelor,False,23.0,5.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1.0,7.2,7.2,-2.0973742942430946,0.8874049117111875,-0.14024131000600334,-0.806650163207234
2769.0,38.0,12.0,2.0,1.0,1.4,1.0,1.0,8.4,16.0,5.0,11.0,0.0,Bachelor,False,36.0,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1.0,8.4,8.4,-1.8475436974882866,0.7951597124525097,-1.603426985524191,-0.46417321108277704
2772.0,28.0,6.0,4.0,4.0,2.7,4.0,1.0,6.2,21.0,2.0,9.0,0.0,Bachelor,False,23.0,5.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.0,24.8,6.2,-0.5198175460496226,-1.1911593937245266,0.3855112349547484,1.1900463125155398
2779.0,31.0,9.0,2.0,1.0,4.2,1.0,1.0,8.5,25.0,3.0,13.0,0.0,Bachelor,False,34.5,5.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1.0,8.5,8.5,-1.8313525723556963,0.7932485451840402,-2.1622996548162536,0.4527481592113169
2786.0,31.0,9.0,4.0,4.0,1.7,3.0,1.0,6.9,23.0,3.0,18.0,4.0,Bachelor,False,44.5,5.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,3.0,20.700000000000003,6.9,-0.9221847153464574,-0.5984630085689614,-0.4520421436824808,1.038522438197849
2788.0,47.0,4.0,1.0,2.0,2.0,1.0,2.0,6.1,19.0,8.0,11.0,0.0,Bachelor,False,32.0,5.0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2.0,6.1,12.2,-1.4174487007040213,1.7398455233523462,0.24564772597305157,0.8327547691122287
