JobSatisfaction,Workload_Binned,SleepHours_Binned,Age_Binned,Stress_Binned,Experience_Binned,JobLevel,Gender,MaritalStatus,Dept,EmpType,haveOT_Binned
Very Satisfied,1,8,20-29,3,6-10,Mid,Male,Married,Finance,Part-Time,No
Very Satisfied,2,6,20-29,1,6-10,Junior,Male,Married,IT,Full-Time,No
Very Satisfied,3,9,20-29,1,6-10,Junior,Male,Single,Marketing,Full-Time,No
Very Satisfied,2,9,30-39,3,11-15,Mid,Male,Married,Operations,Part-Time,No
Very Satisfied,1,7,20-29,1,1-5,Junior,Male,Single,Finance,Full-Time,No
Very Satisfied,2,7,20-29,1,1-5,Mid,Female,Single,IT,Contract,No
Very Satisfied,3,9,20-29,1,6-10,Junior,Female,Single,IT,Part-Time,No
Very Satisfied,1,7,40-49,1,26-30,Mid,Male,Married,Sales,Full-Time,No
Very Satisfied,3,7,30-39,1,1-5,Mid,Male,Single,Finance,Part-Time,No
Very Satisfied,1,6,20-29,3,6-10,Junior,Female,Single,Finance,Contract,No
Very Satisfied,1,7,20-29,1,6-10,Junior,Female,Single,Finance,Full-Time,No
Very Satisfied,1,6,20-29,1,1-5,Junior,Female,Married,Finance,Full-Time,No
Very Satisfied,1,7,30-39,1,11-15,Senior,Female,Married,Operations,Full-Time,No
Very Satisfied,2,8,20-29,1,1-5,Mid,Male,Single,Finance,Contract,No
Very Satisfied,4,8,30-39,1,11-15,Senior,Male,Married,Finance,Part-Time,No
Very Satisfied,2,8,20-29,1,6-10,Junior,Male,Single,HR,Full-Time,No
Very Satisfied,2,9,20-29,1,6-10,Junior,Other,Single,Finance,Full-Time,No
Very Satisfied,1,8,20-29,1,1-5,Junior,Female,Single,Finance,Full-Time,No
Very Satisfied,1,8,20-29,1,6-10,Junior,Female,Single,Operations,Full-Time,No
Very Satisfied,4,9,20-29,1,1-5,Mid,Female,Single,Finance,Full-Time,No
Very Satisfied,1,7,20-29,1,6-10,Junior,Female,Single,IT,Part-Time,No
Very Satisfied,1,8,30-39,1,11-15,Mid,Female,Married,Marketing,Full-Time,No
Very Satisfied,4,6,20-29,1,6-10,Junior,Female,Single,Sales,Part-Time,No
Very Satisfied,1,8,30-39,1,6-10,Mid,Female,Married,Finance,Full-Time,No
Very Satisfied,3,6,30-39,1,6-10,Senior,Other,Single,Sales,Part-Time,No
Very Satisfied,1,6,40-49,2,1-5,Mid,Male,Single,Finance,Full-Time,No
Very Satisfied,1,7,40-49,1,16-20,Mid,Male,Married,IT,Full-Time,Yes
Very Satisfied,3,8,30-39,2,6-10,Senior,Female,Single,Marketing,Full-Time,No
Very Satisfied,1,6,20-29,1,1-5,Intern/Fresher,Female,Single,Sales,Full-Time,No
Very Satisfied,2,6,20-29,1,1-5,Intern/Fresher,Female,Single,Finance,Contract,No
Very Satisfied,1,6,20-29,2,1-5,Junior,Male,Married,IT,Full-Time,No
Very Satisfied,5,5,30-39,1,11-15,Mid,Male,Married,Marketing,Full-Time,No
Very Satisfied,1,6,20-29,1,1-5,Junior,Female,Single,Operations,Full-Time,No
Very Satisfied,3,7,30-39,1,11-15,Mid,Female,Single,IT,Full-Time,Yes
Very Satisfied,2,5,20-29,1,1-5,Junior,Female,Single,Operations,Part-Time,No
Very Satisfied,1,8,30-39,3,6-10,Mid,Male,Married,Operations,Part-Time,No
Very Satisfied,4,6,30-39,1,11-15,Senior,Female,Married,IT,Full-Time,Yes
Very Satisfied,2,4,30-39,1,6-10,Senior,Female,Married,Marketing,Part-Time,No
Very Satisfied,5,7,30-39,1,16-20,Mid,Female,Married,Sales,Full-Time,Yes
Very Satisfied,2,7,30-39,1,6-10,Mid,Male,Single,Operations,Full-Time,No
Very Satisfied,2,6,30-39,1,1-5,Senior,Male,Married,Customer Service,Contract,No
Very Satisfied,5,6,20-29,1,1-5,Mid,Male,Single,IT,Part-Time,No
Very Satisfied,5,7,20-29,2,6-10,Junior,Male,Single,Sales,Full-Time,No
Very Satisfied,2,8,20-29,1,1-5,Junior,Male,Single,IT,Contract,Yes
Very Satisfied,3,6,40-49,1,11-15,Senior,Male,Single,Legal,Full-Time,No
Very Satisfied,3,7,20-29,3,1-5,Junior,Female,Single,Marketing,Full-Time,No
Very Satisfied,2,7,20-29,1,1-5,Junior,Female,Single,Sales,Part-Time,No
Very Satisfied,4,6,20-29,2,1-5,Intern/Fresher,Male,Single,Sales,Full-Time,No
Very Satisfied,4,6,30-39,2,11-15,Mid,Female,Married,HR,Full-Time,No
Very Satisfied,2,5,20-29,2,6-10,Mid,Other,Single,Legal,Part-Time,No
Very Satisfied,4,8,20-29,2,1-5,Mid,Male,Married,Finance,Full-Time,No
Very Satisfied,4,8,20-29,1,1-5,Mid,Male,Single,IT,Full-Time,Yes
Very Satisfied,4,7,20-29,1,1-5,Junior,Female,Single,Legal,Full-Time,No
Very Satisfied,4,7,30-39,1,6-10,Mid,Female,Married,Operations,Full-Time,No
Very Satisfied,4,8,20-29,1,1-5,Mid,Female,Single,Finance,Part-Time,No
Very Satisfied,4,8,30-39,1,6-10,Senior,Male,Married,Operations,Full-Time,No
Very Satisfied,4,6,20-29,1,6-10,Junior,Male,Single,Sales,Full-Time,No
Very Satisfied,3,7,30-39,5,11-15,Senior,Male,Divorced,Operations,Full-Time,No
Very Satisfied,1,5,50-59,1,6-10,Senior,Male,Married,Operations,Full-Time,No
Very Satisfied,3,9,30-39,2,1-5,Mid,Male,Single,IT,Full-Time,Yes
Very Satisfied,3,7,40-49,1,6-10,Mid,Male,Divorced,IT,Part-Time,Yes
Very Satisfied,2,6,20-29,1,1-5,Junior,Female,Single,Marketing,Full-Time,No
Very Satisfied,1,6,30-39,1,6-10,Senior,Male,Married,Legal,Part-Time,Yes
Very Satisfied,3,8,20-29,1,1-5,Junior,Male,Single,Legal,Full-Time,No
Very Satisfied,3,6,20-29,1,1-5,Mid,Male,Single,IT,Contract,Yes
Very Satisfied,5,8,30-39,3,11-15,Mid,Female,Single,Marketing,Contract,No
Very Satisfied,2,7,40-49,2,16-20,Senior,Female,Married,Sales,Full-Time,No
Very Satisfied,3,7,20-29,1,1-5,Junior,Male,Single,IT,Full-Time,Yes
Very Satisfied,2,6,20-29,2,1-5,Junior,Male,Single,Customer Service,Full-Time,No
Very Satisfied,3,9,20-29,4,1-5,Intern/Fresher,Male,Single,IT,Full-Time,Yes
Very Satisfied,3,7,30-39,3,16-20,Mid,Female,Married,IT,Full-Time,No
Very Satisfied,1,6,30-39,1,11-15,Mid,Female,Single,Finance,Full-Time,No
Very Satisfied,4,7,20-29,1,6-10,Mid,Male,Single,Finance,Full-Time,No
Very Satisfied,2,5,40-49,3,11-15,Mid,Female,Married,Operations,Full-Time,Yes
Very Satisfied,4,8,30-39,1,6-10,Mid,Male,Single,IT,Full-Time,Yes
Very Satisfied,2,5,20-29,1,6-10,Junior,Other,Single,Marketing,Full-Time,No
Very Satisfied,4,8,40-49,1,11-15,Senior,Other,Single,Finance,Full-Time,No
Very Satisfied,2,6,50-59,1,1-5,Senior,Female,Married,Operations,Full-Time,Yes
Very Satisfied,1,5,20-29,2,1-5,Junior,Male,Single,Sales,Part-Time,No
Very Satisfied,1,5,40-49,1,26-30,Mid,Female,Married,Sales,Full-Time,No
Very Satisfied,3,5,20-29,1,6-10,Junior,Male,Single,IT,Full-Time,No
Very Satisfied,4,8,30-39,1,1-5,Senior,Male,Married,Finance,Full-Time,No
Very Satisfied,2,6,50-59,2,21-25,Senior,Male,Married,Finance,Full-Time,No
Very Satisfied,3,6,20-29,1,6-10,Mid,Female,Single,Finance,Contract,No
Very Satisfied,3,7,20-29,1,6-10,Junior,Male,Single,IT,Contract,Yes
Very Satisfied,4,5,20-29,1,1-5,Junior,Male,Single,Sales,Contract,No
Very Satisfied,1,6,20-29,1,1-5,Senior,Male,Single,IT,Part-Time,Yes
Very Satisfied,1,5,40-49,1,21-25,Mid,Female,Married,Legal,Full-Time,No
Very Satisfied,5,6,20-29,2,1-5,Mid,Female,Single,Sales,Full-Time,No
Very Satisfied,4,7,40-49,1,6-10,Senior,Male,Single,Sales,Contract,Yes
Very Satisfied,4,6,20-29,1,1-5,Intern/Fresher,Female,Single,Legal,Full-Time,No
Very Satisfied,4,6,20-29,1,6-10,Junior,Other,Single,Marketing,Full-Time,No
Very Satisfied,2,6,30-39,3,6-10,Senior,Female,Single,Legal,Full-Time,No
Very Satisfied,4,6,20-29,1,1-5,Mid,Female,Single,Marketing,Full-Time,No
Very Satisfied,3,7,20-29,1,6-10,Junior,Male,Single,IT,Full-Time,Yes
Very Satisfied,5,6,40-49,1,21-25,Senior,Male,Married,Legal,Part-Time,No
Very Satisfied,1,5,30-39,2,6-10,Mid,Female,Married,Finance,Full-Time,Yes
Very Satisfied,2,6,20-29,3,1-5,Mid,Female,Single,Operations,Contract,No
Very Satisfied,1,5,20-29,1,6-10,Junior,Female,Single,HR,Part-Time,No
Very Satisfied,4,8,20-29,1,6-10,Junior,Male,Single,Customer Service,Part-Time,Yes
Very Satisfied,2,6,20-29,2,1-5,Intern/Fresher,Female,Single,Legal,Full-Time,No
Very Satisfied,3,7,20-29,2,1-5,Mid,Male,Single,Sales,Full-Time,No
Very Satisfied,1,8,20-29,1,1-5,Mid,Female,Single,IT,Contract,Yes
Very Satisfied,3,7,20-29,2,1-5,Junior,Male,Single,IT,Part-Time,Yes
Very Satisfied,5,8,30-39,4,6-10,Mid,Other,Single,Finance,Full-Time,Yes
Very Satisfied,5,7,20-29,1,6-10,Junior,Male,Single,Sales,Part-Time,Yes
Very Satisfied,2,7,30-39,1,11-15,Senior,Other,Single,IT,Full-Time,Yes
Very Satisfied,5,7,20-29,1,1-5,Junior,Male,Single,Finance,Full-Time,No
Very Satisfied,3,6,30-39,1,16-20,Senior,Male,Married,IT,Full-Time,Yes
Very Satisfied,3,8,30-39,2,6-10,Mid,Male,Single,IT,Full-Time,Yes
Very Satisfied,4,7,30-39,1,6-10,Mid,Male,Single,IT,Full-Time,Yes
Very Satisfied,5,6,20-29,1,6-10,Mid,Female,Single,HR,Full-Time,No
Very Satisfied,5,7,20-29,3,1-5,Junior,Male,Single,Operations,Part-Time,No
Very Satisfied,1,6,40-49,3,16-20,Mid,Male,Married,Customer Service,Full-Time,Yes
Very Satisfied,3,7,30-39,2,11-15,Mid,Other,Single,HR,Part-Time,No
Very Satisfied,5,7,40-49,4,16-20,Mid,Female,Married,HR,Full-Time,No
Very Satisfied,5,7,20-29,2,1-5,Intern/Fresher,Male,Single,IT,Full-Time,Yes
Very Satisfied,4,6,30-39,1,16-20,Mid,Male,Married,Legal,Full-Time,No
Very Satisfied,4,4,20-29,1,1-5,Mid,Male,Single,IT,Full-Time,Yes
Very Satisfied,5,5,20-29,1,6-10,Mid,Female,Single,HR,Full-Time,No
Very Satisfied,4,8,20-29,2,1-5,Junior,Male,Single,IT,Full-Time,Yes
Very Satisfied,4,6,20-29,3,1-5,Intern/Fresher,Male,Single,IT,Full-Time,Yes
Very Satisfied,5,6,20-29,1,6-10,Junior,Female,Married,Finance,Contract,No
Very Satisfied,3,6,20-29,3,1-5,Junior,Female,Single,Operations,Full-Time,No
Very Satisfied,5,7,20-29,1,1-5,Junior,Female,Single,Operations,Full-Time,No
Very Satisfied,4,6,30-39,2,16-20,Mid,Female,Divorced,Finance,Full-Time,No
Satisfied,1,6,40-49,1,1-5,Mid,Male,Married,Sales,Full-Time,No
Satisfied,2,7,20-29,1,1-5,Junior,Male,Single,IT,Part-Time,Yes
Satisfied,1,7,30-39,1,16-20,Senior,Female,Divorced,IT,Full-Time,Yes
Satisfied,1,6,20-29,1,1-5,Junior,Male,Single,IT,Full-Time,No
Satisfied,1,8,30-39,3,6-10,Mid,Male,Married,Marketing,Full-Time,No
Satisfied,1,6,20-29,1,1-5,Junior,Male,Married,Legal,Full-Time,No
Satisfied,1,7,20-29,1,6-10,Mid,Female,Single,Finance,Contract,No
Satisfied,1,6,40-49,1,21-25,Senior,Female,Single,Legal,Full-Time,No
Satisfied,1,7,30-39,1,1-5,Mid,Female,Married,Operations,Part-Time,No
Satisfied,2,6,40-49,1,11-15,Mid,Male,Single,Operations,Part-Time,No
Satisfied,3,6,40-49,1,6-10,Mid,Female,Married,Sales,Part-Time,No
Satisfied,1,7,30-39,1,16-20,Senior,Female,Single,Sales,Full-Time,No
Satisfied,3,7,30-39,3,11-15,Mid,Female,Married,Operations,Full-Time,No
Satisfied,5,8,30-39,4,1-5,Senior,Other,Single,IT,Part-Time,Yes
Satisfied,4,6,30-39,2,11-15,Senior,Female,Single,HR,Full-Time,No
Satisfied,5,7,40-49,2,21-25,Mid,Female,Married,Finance,Full-Time,No
Satisfied,2,6,20-29,2,6-10,Junior,Female,Single,Finance,Full-Time,No
Satisfied,1,7,30-39,1,11-15,Senior,Male,Married,Marketing,Full-Time,No
Satisfied,1,7,30-39,3,16-20,Senior,Male,Married,Marketing,Full-Time,Yes
Satisfied,4,5,30-39,1,11-15,Mid,Male,Divorced,IT,Full-Time,Yes
Satisfied,1,6,20-29,2,6-10,Junior,Male,Single,IT,Part-Time,Yes
Satisfied,3,6,20-29,1,1-5,Junior,Male,Single,Finance,Contract,Yes
Satisfied,1,7,40-49,1,6-10,Senior,Other,Single,Finance,Full-Time,No
Satisfied,1,6,30-39,1,16-20,Senior,Male,Single,Finance,Full-Time,Yes
Satisfied,1,7,30-39,1,6-10,Mid,Male,Single,IT,Part-Time,Yes
Satisfied,2,6,20-29,1,1-5,Mid,Male,Single,IT,Full-Time,Yes
Very Satisfied,5,8,20-29,1,1-5,Mid,Female,Single,Marketing,Full-Time,No
Very Satisfied,4,7,20-29,1,6-10,Mid,Female,Single,Finance,Full-Time,No
Very Satisfied,4,7,20-29,1,6-10,Junior,Male,Single,Finance,Full-Time,No
Very Satisfied,4,6,20-29,1,1-5,Intern/Fresher,Other,Single,Customer Service,Part-Time,No
Very Satisfied,3,8,30-39,2,11-15,Senior,Male,Single,Customer Service,Part-Time,Yes
Very Satisfied,5,6,20-29,1,6-10,Junior,Other,Single,Legal,Full-Time,No
Very Satisfied,2,7,20-29,5,6-10,Junior,Female,Married,IT,Full-Time,No
Very Satisfied,3,8,20-29,1,6-10,Junior,Female,Single,Customer Service,Full-Time,No
Very Satisfied,3,7,30-39,2,11-15,Senior,Male,Single,Finance,Part-Time,No
Very Satisfied,3,7,50-59,3,21-25,Senior,Male,Married,Finance,Full-Time,No
Very Satisfied,1,5,20-29,2,1-5,Junior,Male,Married,Operations,Full-Time,No
Very Satisfied,1,5,20-29,1,1-5,Junior,Female,Single,Finance,Part-Time,No
Very Satisfied,3,6,20-29,3,1-5,Intern/Fresher,Male,Single,Finance,Part-Time,No
Very Satisfied,1,7,30-39,1,16-20,Mid,Male,Married,IT,Full-Time,Yes
Very Satisfied,3,6,20-29,1,1-5,Mid,Female,Single,IT,Full-Time,Yes
Very Satisfied,5,8,20-29,1,6-10,Junior,Female,Single,Customer Service,Full-Time,Yes
Very Satisfied,4,8,30-39,2,6-10,Senior,Other,Single,IT,Part-Time,Yes
Very Satisfied,1,5,20-29,2,1-5,Junior,Female,Married,HR,Full-Time,No
Very Satisfied,4,6,30-39,1,11-15,Mid,Male,Married,IT,Full-Time,Yes
Very Satisfied,2,6,30-39,1,11-15,Mid,Male,Married,IT,Full-Time,No
Very Satisfied,3,7,20-29,1,1-5,Junior,Female,Single,Legal,Full-Time,No
Very Satisfied,1,4,30-39,1,6-10,Mid,Male,Married,Operations,Full-Time,No
Very Satisfied,4,8,30-39,2,16-20,Mid,Male,Married,Operations,Full-Time,No
Very Satisfied,3,8,20-29,5,1-5,Intern/Fresher,Male,Single,Operations,Full-Time,No
Very Satisfied,2,7,20-29,1,1-5,Junior,Male,Single,IT,Full-Time,Yes
Very Satisfied,4,8,30-39,2,1-5,Mid,Female,Single,Marketing,Contract,Yes
Very Satisfied,3,6,20-29,1,1-5,Junior,Female,Single,Legal,Full-Time,No
Very Satisfied,4,6,20-29,1,1-5,Intern/Fresher,Female,Single,Marketing,Full-Time,No
Very Satisfied,2,6,30-39,2,1-5,Senior,Female,Married,HR,Full-Time,No
Very Satisfied,3,5,20-29,1,6-10,Junior,Male,Single,Finance,Part-Time,No
Very Satisfied,5,9,30-39,3,11-15,Mid,Male,Married,IT,Part-Time,Yes
Very Satisfied,1,5,20-29,2,1-5,Intern/Fresher,Other,Single,Operations,Full-Time,No
Very Satisfied,2,7,30-39,1,6-10,Mid,Female,Married,Operations,Contract,No
Very Satisfied,1,6,30-39,1,1-5,Mid,Male,Single,Operations,Full-Time,No
Very Satisfied,4,5,20-29,2,1-5,Junior,Male,Married,IT,Part-Time,No
Very Satisfied,3,8,20-29,5,6-10,Junior,Female,Single,Finance,Part-Time,Yes
Very Satisfied,2,8,20-29,3,1-5,Senior,Male,Single,Operations,Full-Time,No
Very Satisfied,1,8,20-29,4,1-5,Senior,Male,Single,IT,Full-Time,Yes
Very Satisfied,2,6,20-29,1,1-5,Junior,Female,Married,Sales,Full-Time,No
Very Satisfied,4,7,30-39,1,16-20,Mid,Female,Married,Sales,Contract,No
Very Satisfied,5,7,20-29,2,1-5,Junior,Female,Married,Finance,Full-Time,No
Very Satisfied,5,8,20-29,3,1-5,Junior,Other,Single,IT,Full-Time,Yes
Satisfied,4,7,40-49,1,11-15,Senior,Male,Single,IT,Full-Time,Yes
Satisfied,3,7,40-49,1,6-10,Senior,Male,Divorced,Sales,Full-Time,Yes
Satisfied,1,7,30-39,1,6-10,Mid,Male,Married,IT,Contract,Yes
Satisfied,3,7,20-29,1,1-5,Junior,Male,Single,Finance,Full-Time,No
Satisfied,1,6,20-29,1,1-5,Mid,Other,Single,Operations,Part-Time,No
Satisfied,5,7,20-29,1,1-5,Intern/Fresher,Female,Single,IT,Full-Time,Yes
Satisfied,2,4,20-29,1,1-5,Junior,Female,Single,Legal,Contract,No
Satisfied,1,7,20-29,1,1-5,Junior,Female,Single,Customer Service,Full-Time,No
Satisfied,4,7,30-39,1,1-5,Senior,Female,Married,Marketing,Full-Time,No
Satisfied,2,5,30-39,1,16-20,Mid,Female,Married,Operations,Full-Time,No
Satisfied,5,7,40-49,3,1-5,Senior,Male,Married,IT,Full-Time,No
Satisfied,2,6,20-29,1,1-5,Junior,Female,Single,Finance,Full-Time,No
Satisfied,1,6,20-29,3,1-5,Intern/Fresher,Male,Single,Legal,Full-Time,No
Satisfied,2,7,20-29,1,6-10,Junior,Male,Single,Operations,Full-Time,No
Satisfied,1,6,40-49,2,16-20,Mid,Female,Single,Finance,Part-Time,No
Satisfied,4,6,20-29,1,1-5,Junior,Male,Single,Finance,Full-Time,No
Satisfied,2,8,40-49,1,21-25,Mid,Male,Married,Legal,Full-Time,No
Satisfied,4,6,20-29,1,1-5,Senior,Male,Single,Finance,Contract,No
Satisfied,3,7,20-29,1,6-10,Junior,Female,Single,Customer Service,Full-Time,No
Satisfied,4,7,30-39,1,11-15,Mid,Male,Married,Finance,Full-Time,No
Satisfied,1,7,20-29,1,1-5,Intern/Fresher,Other,Single,Finance,Full-Time,Yes
Satisfied,4,8,30-39,3,11-15,Mid,Female,Married,Marketing,Full-Time,No
Satisfied,2,6,30-39,5,11-15,Mid,Other,Single,HR,Full-Time,No
Satisfied,2,7,20-29,4,1-5,Intern/Fresher,Male,Single,IT,Full-Time,No
Satisfied,4,7,30-39,1,11-15,Mid,Male,Divorced,IT,Full-Time,Yes
Satisfied,2,7,20-29,1,1-5,Junior,Male,Single,Customer Service,Contract,Yes
Satisfied,2,6,40-49,1,11-15,Mid,Male,Married,IT,Part-Time,Yes
Satisfied,1,7,30-39,1,1-5,Mid,Male,Married,Legal,Full-Time,No
Satisfied,5,8,20-29,1,6-10,Junior,Male,Single,Legal,Part-Time,No
Satisfied,1,8,20-29,1,1-5,Junior,Female,Single,Legal,Contract,No
Satisfied,1,8,40-49,3,11-15,Senior,Male,Married,IT,Contract,Yes
Satisfied,3,6,20-29,1,1-5,Junior,Other,Single,Finance,Full-Time,No
Satisfied,1,7,40-49,1,21-25,Senior,Male,Single,IT,Contract,No
Satisfied,1,7,20-29,1,1-5,Mid,Other,Single,Marketing,Full-Time,Yes
Satisfied,4,5,20-29,3,1-5,Junior,Other,Single,Finance,Contract,No
Satisfied,3,6,20-29,2,6-10,Junior,Female,Single,Customer Service,Full-Time,No
Satisfied,2,7,40-49,2,16-20,Mid,Female,Divorced,HR,Part-Time,No
Satisfied,1,8,30-39,1,11-15,Senior,Female,Married,IT,Full-Time,Yes
Satisfied,5,7,20-29,2,1-5,Mid,Male,Single,Legal,Full-Time,Yes
Satisfied,1,7,40-49,2,6-10,Mid,Male,Married,Marketing,Part-Time,No
Satisfied,4,5,20-29,2,1-5,Intern/Fresher,Female,Single,Sales,Contract,No
Satisfied,1,7,20-29,1,6-10,Junior,Female,Single,Customer Service,Part-Time,No
Satisfied,2,8,30-39,3,11-15,Mid,Other,Single,IT,Full-Time,Yes
Satisfied,3,6,20-29,2,1-5,Mid,Male,Single,Sales,Full-Time,No
Satisfied,1,6,20-29,1,1-5,Mid,Other,Single,Sales,Part-Time,Yes
Satisfied,1,8,20-29,2,6-10,Mid,Male,Single,Operations,Full-Time,No
Satisfied,3,7,20-29,3,1-5,Junior,Other,Single,Sales,Full-Time,No
Satisfied,2,8,30-39,1,16-20,Senior,Female,Married,HR,Part-Time,No
Satisfied,2,6,20-29,1,1-5,Junior,Other,Single,Operations,Part-Time,No
Satisfied,1,6,30-39,1,11-15,Senior,Female,Single,Operations,Part-Time,No
Satisfied,1,6,30-39,2,6-10,Mid,Female,Married,IT,Full-Time,Yes
Satisfied,2,7,20-29,1,6-10,Junior,Male,Single,Finance,Full-Time,No
Satisfied,4,6,20-29,1,1-5,Intern/Fresher,Female,Single,Finance,Full-Time,No
Satisfied,1,6,30-39,1,16-20,Senior,Female,Married,Marketing,Full-Time,No
Satisfied,5,8,30-39,1,11-15,Senior,Male,Married,IT,Full-Time,Yes
Satisfied,1,7,30-39,2,1-5,Mid,Male,Married,IT,Contract,Yes
Satisfied,4,7,20-29,1,1-5,Junior,Other,Single,Marketing,Contract,No
Satisfied,1,7,30-39,2,1-5,Mid,Female,Married,Legal,Full-Time,No
Satisfied,1,7,20-29,1,6-10,Mid,Male,Single,IT,Full-Time,Yes
Satisfied,2,6,40-49,1,16-20,Mid,Male,Married,IT,Part-Time,No
Satisfied,2,7,20-29,1,6-10,Junior,Female,Single,Operations,Part-Time,No
Satisfied,1,7,20-29,1,1-5,Junior,Female,Single,Finance,Full-Time,Yes
Satisfied,1,7,20-29,4,6-10,Mid,Female,Single,Finance,Full-Time,No
Satisfied,2,7,30-39,1,11-15,Senior,Female,Married,Finance,Contract,No
Satisfied,1,6,30-39,1,11-15,Mid,Female,Married,Operations,Contract,No
